"{
     int x;
     x = 3 + 4;
}
x = ?",var_q1,1,12,8,7,3,2,
"{
     int x = 5;
     int y = 8;
     int z = y - x;
     System.out.println(z + y);
}
What will print?",var_q2,1,12,11,3,20,1,
"{
     double x = 3.2;
     x = x + 4.8;
     System.out.println(x);
}
What will print?",var_q3,1,9,8.3,8.0,8,2,
"{
     int x = 7;
     int y = x%3;
     System.out.println(y);
}
What gets printed?",var_q4,1,3,1,2,4,1,
"{
     int x = 4;
     int y = 3;
     x++;
     y--;
     System.out.println(x * y);
}
What gets printed?",var_q5,1,21,15,8,10,3,
"{
     int x = 4;
     x += 6;
     System.out.println(x);
}
What gets printed?",var_q6,1,10,6,24,8,0,
"{
     int x = 7;
     int y = 3;
     int z = 5;
     System.out.println((x + y)/z);
}
What gets printed?",var_q7,1,15,8,5,2,3,
"{
     int x = 12;
     double y = 2.0;
     System.out.println(y * x);
}
What gets printed?",var_q8,2,24.0,24,0,
"{
     double x = 2.1;
     x /= 7;
     System.out.println(x);
}
What gets printed?",q9,1,3,0.3,-4.9,0.7,1,
"{
     double x = 14.1;
     double y = x%3;
     System.out.println(y);
}
What gets printed?",q10,1,4,4.7,2.1,5,2
